Id,Subject,MainText,SubjectSpam,MainTextSpam,SpamStatus
99_4970_4,rating,Cool baby Sweet ,2,2,2
99_4971_4,rating,I like it It's a good app better looking now ,2,2,2
99_4972_4,rating,Good Good but does this app only works when theres internet connetion ,2,2,2
99_4973_4,rating,many many things to njoy with your photos Thanks ,2,2,2
99_4974_4,rating,Memr Cool,2,2,2
99_4975_4,rating,The best one suggestion I'd love to see an option for TRUE black and white saves not just an option for high contrast greyscale That way CCITT compression could be used and the space saving would be dramatic 90 percent of my scans would be fine in high rez 1 bit I've yet to see another app that can save to 1 bit though they can be read by most PDF viewers but given storage size concerns I don't see why scan apps don't include this as an option Great job on all the rest though ,2,2,2
99_4976_4,rating,H J,2,2,2
99_4977_4,rating,Nice Gameplay takes head to head with desktop gaming devices version,2,2,2
99_4978_4,rating,Nice app to compose your photos ,2,2,2
99_4979_4,rating,Great app for photo collection,2,2,2
99_4980_4,rating,So far no in app purchases ,2,2,2
99_4982_4,rating,Nice app Nice application Keeps boredom away,2,2,2
99_4983_4,rating,Love the application,2,2,2
99_4984_4,rating,Very good app But some of the photos come out too pixilated ,2,2,2
99_4985_4,rating,Nice antivirus One of great antivirus,2,2,2
99_4987_4,rating,Its a start Ive been hounding facebook for about a year to develop this app for Android ever since the ios app released so far it's a start and most of us know that Keep up the good work make just as if not better than the ios app ,2,2,2
99_4988_4,rating,Good Nice,2,2,2
99_4989_4,rating,Above average I love this app Realistic beauty tweaks and airbrush No pop ups or glitches ,2,2,2
99_4990_4,rating,Good App for easy pic editing Worth paying for the pro version so far anyway ,2,2,2
99_4992_4,rating,Cute I love it 3,2,2,2
99_4993_4,rating,Good app but no D in galaxy s4,2,2,2
99_4994_4,rating,Good This is a good app,2,2,2
99_4995_4,rating,VerY gOoD App I woUld GivE it 5 star if iT wOulD have LogoUt opTion,2,2,2
99_4996_4,rating,V k Nice,2,2,2
99_5000_4,rating,Excellent Excellent,2,2,2
99_5001_4,rating,To much Ganda,2,2,2
99_5004_4,rating,Shooter game Pretty awesome to be able to play a game on a tablet anywhere that has the feeling of an Xbox or playstation console,2,2,2
99_5005_4,rating,Gud I like it,2,2,2
99_5006_4,rating,Nice Really like the burst mode it captures every sec of a moment cant beat that for a cam app ,2,2,2
99_5007_4,rating,Not bad,2,2,2
99_5008_4,rating,Good This is better than old,2,2,2
99_5009_4,rating,Intaframe Downloaded it yesterday loving the app,2,2,2
99_5010_4,rating,N7100 Good quality,2,2,2
99_5011_4,rating,Using it in Titanium S5 Results are goodd enof,2,2,2
99_5012_4,rating,I like it,2,2,2
99_5013_4,rating,Cool Aburi must have,2,2,2
99_5015_4,rating,Good Best,2,2,2
99_5016_4,rating,yehh cool not bad ,2,2,2
99_5017_4,rating,Good App Love It ,2,2,2
99_5018_4,rating,Seems legit,2,2,2
99_5019_4,rating,Gud Nyc app,2,2,2
99_5020_4,rating,Ma,2,2,2
99_5021_4,rating,Awesome Used to be sooo jelaous of ppl with cam wow and retrica but now theyre jelaous of me Thanks ,2,2,2
